;
; COEF_COL_DROP - Coefficients for the model of dropping out of college.
; 2024-01-14
;
;
;                FBLACK   FHISPANI     FWHITE     MBLACK   MHISPANI     MWHITE
+=============================================================================
$COEFINFO
 NV =   16,
 NG =    6
$END
'INTERCEP', 1, -0.939824, -0.778745, -1.103656, -0.660803, -0.859716, -0.996112
'YEAR1   ', 2,          ,          ,          ,          ,          ,          
'YEAR2   ', 3,  0.      ,  0.      ,  0.      ,  0.      ,  0.      ,  0.      
'YEAR3   ', 4,  0.      ,  0.      , -0.247753,  0.      ,  0.      , -0.304446
'YEAR4   ', 5, -0.540275, -0.485626, -0.679832, -0.688461, -0.390000, -0.562008
'YEAR5   ', 6,  0.      ,  0.      ,  0.      ,  0.      , -0.616017,  0.      
'YEAR6   ', 7,          ,          ,          ,          ,          ,          
'YEAR7   ', 8,          ,          ,          ,          ,          ,          
'YEAR8   ', 9,          ,          ,          ,          ,          ,          
'ASIAN   ',10,          ,          , -0.641986,          ,          ,  0.      
'PNETWORT',11,  0.      , -0.082489, -0.026482, -0.079985, -0.059249, -0.030368
'PED1COLD',12, -0.285524, -0.396835, -0.481847,  0.      , -0.284643, -0.384896
'PED2COLD',13, -0.996585, -0.798776, -0.878927, -0.527047,  0.      , -0.560621
'ASNPNETW',14,          ,          ,  0.      ,          ,          ,  0.      
'ASNPED1C',15,          ,          ,  0.      ,          ,          ,  0.      
'ASNPED2C',16,          ,          ,  0.      ,          ,          ,  0.      
