year,windex
1951, 2.79916
1952, 2.97332
1953, 3.13944
1954, 3.15564
1955, 3.30144
1956, 3.53236
1957, 3.64172
1958, 3.6738
1959, 3.8558
1960, 4.00712
1961, 4.08676
1962, 4.2914
1963, 4.39664
1964, 4.57632
1965, 4.65872
1966, 4.93836
1967, 5.21344
1968, 5.57176
1969, 5.89376
1970, 6.18624
1971, 6.49708
1972, 7.1338
1973, 7.58016
1974, 8.03076
1975, 8.63092
1976, 9.22648
1977, 9.77944
1978, 10.55603
1979, 11.47946
1980, 12.51346
1981, 13.7731
1982, 14.53134
1983, 15.23924
1984, 16.13507
1985, 16.82251
1986, 17.32182
1987, 18.42651
1988, 19.33404
1989, 20.09955
1990, 21.02798
1991, 21.8116
1992, 22.93542
1993, 23.13267
1994, 23.75353
1995, 24.70566
1996, 25.9139
1997, 27.426
1998, 28.86144
1999, 30.46984
2000, 32.15482
2001, 32.92192
2002, 33.25209
2003, 34.06495
2004, 35.64855
2005, 36.95294
2006, 38.65141
2007, 40.40548
2008, 41.33497
2009, 40.71161
2010, 41.67383
2011, 42.97961
2012, 44.32167
2013, 44.88816
2014, 46.48152
2015, 48.09863
2016, 48.64215
2017, 50.32189
2018, 52.1458
2019, 54.09999
2020, 55.6286
2021, 60.57507
2022, 63.46798
